name,id,address,date,kWh,public_url,installationDate,uid
Telus Spark,594148,220 ST GEORGES DR NE,22/11/2017 13:00,9.416,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-22 13:00:00
Telus Spark,594148,220 ST GEORGES DR NE,22/11/2017 14:00,5.905,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-22 14:00:00
Telus Spark,594148,220 ST GEORGES DR NE,22/11/2017 15:00,2.408,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-22 15:00:00
Telus Spark,594148,220 ST GEORGES DR NE,22/11/2017 16:00,0.358,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-22 16:00:00
Telus Spark,594148,220 ST GEORGES DR NE,23/11/2017 8:00,0.9,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-23 08:00:00
Telus Spark,594148,220 ST GEORGES DR NE,23/11/2017 9:00,2.257,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-23 09:00:00
Telus Spark,594148,220 ST GEORGES DR NE,23/11/2017 10:00,1.27,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-23 10:00:00
Telus Spark,594148,220 ST GEORGES DR NE,23/11/2017 11:00,3.385,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-23 11:00:00
Telus Spark,594148,220 ST GEORGES DR NE,23/11/2017 12:00,3.879,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-23 12:00:00
Telus Spark,594148,220 ST GEORGES DR NE,23/11/2017 13:00,3.598,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-23 13:00:00
Telus Spark,594148,220 ST GEORGES DR NE,23/11/2017 14:00,0.757,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-23 14:00:00
Telus Spark,594148,220 ST GEORGES DR NE,23/11/2017 15:00,0.625,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-23 15:00:00
Telus Spark,594148,220 ST GEORGES DR NE,23/11/2017 16:00,0.027,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-23 16:00:00
Telus Spark,594148,220 ST GEORGES DR NE,24/11/2017 8:00,0.053,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-24 08:00:00
Telus Spark,594148,220 ST GEORGES DR NE,24/11/2017 9:00,0.919,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-24 09:00:00
Telus Spark,594148,220 ST GEORGES DR NE,24/11/2017 10:00,1.889,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-24 10:00:00
Telus Spark,594148,220 ST GEORGES DR NE,24/11/2017 11:00,5.418,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-24 11:00:00
Telus Spark,594148,220 ST GEORGES DR NE,24/11/2017 12:00,7.823,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-24 12:00:00
Telus Spark,594148,220 ST GEORGES DR NE,24/11/2017 13:00,5.512,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-24 13:00:00
Telus Spark,594148,220 ST GEORGES DR NE,24/11/2017 14:00,3.98,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-24 14:00:00
Telus Spark,594148,220 ST GEORGES DR NE,24/11/2017 15:00,1.439,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-24 15:00:00
Telus Spark,594148,220 ST GEORGES DR NE,24/11/2017 16:00,0.173,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-24 16:00:00
Telus Spark,594148,220 ST GEORGES DR NE,25/11/2017 8:00,0.348,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-25 08:00:00
Telus Spark,594148,220 ST GEORGES DR NE,25/11/2017 9:00,1.488,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-25 09:00:00
